               name | period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |            rp_over_rs |          transit_depth | semimajor_axis_in_au
       Kepler-176 b |       5.433074 |                         1.43 |              988.2846265827295 |  0.014730427521871913 |  0.0002169854949771215 |                0.058
       Kepler-176 c |      12.759712 |                          2.6 |              745.2396455076293 |  0.026782595494312573 |  0.0007173074214119721 |                0.102
       Kepler-176 d |      25.751974 |                         2.51 |              589.5250099135202 |  0.025855505650278672 |  0.0006685071724315924 |                0.163
       Kepler-176 e |       51.16579 |                         1.45 |             469.04632975605557 |   0.01493644748721278 |   0.000223097463538265 |  0.25749013143534555
       Kepler-177 b |        35.8601 |                          3.5 |              698.0032597101742 |  0.024308795152908992 |  0.0005909175217860917 |  0.20698457820544747
       Kepler-177 c |       49.40926 |                         8.73 |              627.2757519649572 |   0.06063308048139871 |  0.0036763704486637732 |   0.2562924961191769
       Kepler-178 b |       9.576694 |                          2.9 |              971.0869337247758 |  0.024847548156297892 |  0.0006174006493795428 |                0.085
       Kepler-178 c |      20.552802 |                         2.88 |              751.3173210085216 |  0.024676185755219977 |  0.0006089141434261212 |                0.142
       Kepler-178 d |      96.678988 |                         3.95 |             449.33714346194864 |  0.033844074212888514 |  0.0011454213593275052 |                0.397
       Kepler-179 b |       2.735926 |                         1.64 |               1174.70432296253 |  0.019783338250758415 |   0.000391380472343921 |                0.036
       Kepler-179 c |        6.40013 |                          2.0 |              881.0282422218975 |   0.02412602225702246 |  0.0005820649499463431 |                0.064
        Kepler-18 b |       3.504725 |                          2.0 |             1284.3658074226853 |  0.016518717941745104 |  0.0002728680424389316 |               0.0447
        Kepler-18 c |        7.64159 |                         5.49 |              990.2242927020072 |   0.04534388075009031 |  0.0020560675214784108 |               0.0752
        Kepler-18 d |       14.85888 |                         6.98 |              793.1926677040669 |  0.057650325616690416 |  0.0033235600437104313 |               0.1172
       Kepler-180 b |      13.817124 |                          1.5 |              861.7938488616138 |   0.01297342706273849 | 0.00016830980975219545 |                0.109
       Kepler-180 c |      41.885775 |                         3.01 |              594.5643942670126 |   0.02603334363922857 |  0.0006777349810381626 |                0.229
       Kepler-181 b |       3.137873 |                         1.27 |             1113.5392189735005 |   0.01552429112165205 | 0.00024100361482980469 |                 0.04
       Kepler-181 c |       4.302149 |                         1.99 |             1006.0914845374987 |  0.024325464041013843 |  0.0005917282008106575 |                0.049
       Kepler-182 b |       9.825792 |                         2.58 |             1043.1016174444767 |  0.020567958452856368 |  0.0004230409149184257 |                0.096
       Kepler-182 c |      20.684342 |                         3.43 |              815.6660929097893 |   0.02734422383461137 |  0.0007477065771173285 |                0.157
       Kepler-183 b |       5.687945 |                         2.06 |              1099.630377185532 |  0.019672760648747064 |   0.000387017511542891 |                0.064
       Kepler-183 c |      11.637071 |                         2.27 |              866.7984046397997 |  0.021678236248862056 |  0.0004699459268614768 |                0.103
       Kepler-184 b |      10.687576 |                         2.36 |              858.2771154054923 |   0.02486921466677901 |  0.0006184778381423363 |                0.092
       Kepler-184 c |      20.303005 |                         1.97 |              693.2851379265516 |   0.02075947156506553 | 0.00043095565966076434 |                0.141
       Kepler-184 d |      29.022358 |                         2.49 |              615.3113570214616 |   0.02623912903401684 |  0.0006884918924637856 |                0.179
       Kepler-185 b |         1.6329 |                         1.17 |             1401.7162523298355 |  0.013242505549965658 | 0.00017536395324087124 |                0.026
       Kepler-185 c |      20.729042 |                         2.02 |              606.2327339568192 |  0.022863129240111652 |  0.0005227226786500484 |                0.139
       Kepler-186 b |      3.8867907 |                         1.07 |              705.0141781905475 |   0.01886469355712564 |  0.0003558766630042576 |               0.0343
       Kepler-186 c |       7.267302 |                         1.25 |              614.8322506014953 |   0.02203819340785705 |   0.000485681968682114 |               0.0451
       Kepler-186 d |      13.342996 |                          1.4 |             467.21781498761214 |  0.024682776616799896 |  0.0006092394615148437 |               0.0781
       Kepler-186 e |      22.407704 |                         1.27 |             393.68472857818216 |  0.022390804502382764 |  0.0005013481262639242 |                 0.11
